feature,importance,importance_pct,cumulative_pct
Model_Description_PC220LC3,12,0.08,80.79
Base_Model_TLB425,12,0.08,80.87
Product_Class_Description_Type_D_-_85_0_to_105_0_Horsepower,12,0.08,80.95
Base_Model_112,12,0.08,81.03
Model_Description_HR1_6,12,0.08,81.11
Model_Description_16G,12,0.08,81.19
Model_Description_555,12,0.08,81.27
Model_Description_EX200,12,0.08,81.35
Base_Model_SK200,11,0.07,81.42
Model_Description_FG65C,11,0.07,81.49
Model_Descriptor_ZTS,11,0.07,81.56
Base_Model_160,11,0.07,81.63
Model_Description_310SJ,11,0.07,81.7
Base_Model_312,11,0.07,81.77
Secondary_Description_AX,11,0.07,81.84
Base_Model_318,11,0.07,81.91
Model_Description_SL180-2,11,0.07,81.98
Model_Description_B100,11,0.07,82.05
Secondary_Description_SG,11,0.07,82.12
Base_Model_500,11,0.07,82.19
Base_Model_ZX120,11,0.07,82.26
Model_Series_LC,11,0.07,82.33
Base_Model_WA75,11,0.07,82.4
Base_Model_21,11,0.07,82.47
Base_Model_WA600,11,0.07,82.54
Model_Descriptor_VHP,11,0.07,82.61
Model_Descriptor_XL,11,0.07,82.68
Base_Model_670,11,0.07,82.75
Model_Description_D10,11,0.07,82.82
Base_Model_WA450,11,0.07,82.89
Base_Model_FG85,11,0.07,82.96
Base_Model_TX760,11,0.07,83.03
Product_Class_Description_Type_E_-_135_0_to_150_0_Horsepower,11,0.07,83.1
Base_Model_130,11,0.07,83.17
Base_Model_BL70,11,0.07,83.24
Model_Description_120HNA,11,0.07,83.31
Coupler_Manual,11,0.07,83.38
Pattern_Changer_Yes,11,0.07,83.45
Machine_Width_None_or_Unspecified,11,0.07,83.52
Hydraulics_Standard,11,0.07,83.59
Transmission_Powershuttle,11,0.07,83.66
Pattern_Changer_None_or_Unspecified,11,0.07,83.73
Blade_Type_Semi_U,11,0.07,83.8
Base_Model_E120,10,0.07,83.87
Base_Model_690,10,0.07,83.94
Model_Description_PC200,10,0.07,84.01
Model_Description_D6D,10,0.07,84.08
Base_Model_DH220,10,0.07,84.15
Product_Class_Description_Type_E_-_100_0_to_110_0_Horsepower,10,0.07,84.22
Model_Description_EX300-3LC,10,0.07,84.29
Base_Model_JS220,10,0.07,84.36
Secondary_Description_K,10,0.07,84.43
Base_Model_UH025,10,0.07,84.5
Base_Model_555,10,0.07,84.57
Transmission_Unknown,10,0.07,84.64
Base_Model_988,10,0.07,84.71
Base_Model_311,10,0.07,84.78
Model_Description_BL60,10,0.07,84.85
Base_Model_W30,10,0.07,84.92
Model_Description_550,10,0.07,84.99
State_of_Usage_Connecticut,10,0.07,85.06
Control_Yes,10,0.07,85.13
Push_Block_Yes,10,0.07,85.2
State_of_Usage_Montana,10,0.07,85.27
Model_Description_350D,10,0.07,85.34
Model_Description_360,10,0.07,85.41
Base_Model_140,9,0.06,85.47
Base_Model_PC300,9,0.06,85.53
Base_Model_40,9,0.06,85.59
Model_Description_120G,9,0.06,85.65
Model_Description_DSL601,9,0.06,85.71
Model_Description_416E,9,0.06,85.77
Model_Description_PC200-7,9,0.06,85.83
Model_Description_S250,9,0.06,85.89
Base_Model_S185,9,0.06,85.95
Base_Model_245,9,0.06,86.01
Product_Class_Description_Type_D_-_160_0_to_190_0_Horsepower,9,0.06,86.07
Base_Model_9060,9,0.06,86.13
Base_Model_SKL873,9,0.06,86.19
Model_Description_570B,9,0.06,86.25
Control_Type_Unknown,9,0.06,86.31
Product_Class_Description_Type_B_-_0_0_to_14_0_Ft_Standard_Digging_Depth,9,0.06,86.37
Model_Description_410E,9,0.06,86.43
Model_Description_310B,9,0.06,86.49
Model_Description_T7,9,0.06,86.55
Base_Model_L150,9,0.06,86.61
Product_Class_Description_Type_C_-_14_0_to_16_0_Metric_Tons,9,0.06,86.67
Product_Class_Description_Type_E_-_90_0_to_100_0_Horsepower,9,0.06,86.73
Model_Description_980C,9,0.06,86.79
Model_Series_6,9,0.06,86.85
Base_Model_310,9,0.06,86.91
Screen_Size_20_5,9,0.06,86.97
Model_Description_D7HII,9,0.06,87.03
Model_Description_D7E,9,0.06,87.09
Model_Description_B7,9,0.06,87.15
Base_Model_WA250,8,0.05,87.2
Model_Description_14E,8,0.05,87.25
Model_Description_966D,8,0.05,87.3
Model_Description_544B,8,0.05,87.35
Base_Model_FD40,8,0.05,87.4
State_of_Usage_Illinois,8,0.05,87.45
Clean_Room_None_or_Unspecified,8,0.05,87.5
Base_Model_GD655,8,0.05,87.55
Model_Description_WA350,8,0.05,87.6
Grouser_Tracks_Yes,8,0.05,87.65
Base_Model_745,8,0.05,87.7
Model_Description_KSS70Z,8,0.05,87.75
Model_Description_W36,8,0.05,87.8
Model_Description_T9,8,0.05,87.85
Base_Model_175,8,0.05,87.9
Model_Description_330CL,8,0.05,87.95
Model_Description_235,8,0.05,88.0
Secondary_Description_UU,8,0.05,88.05
Travel_Possibilities_Differential_Steer,8,0.05,88.1
Model_Description_130G,8,0.05,88.15
Transmission_Standard,8,0.05,88.2
Base_Model_UH122,8,0.05,88.25
Model_Descriptor_H,8,0.05,88.3
Product_Group_TEX,8,0.05,88.35
Model_Description_580B,8,0.05,88.4
Model_Description_IT28,8,0.05,88.45
Screen_Size_20_5_1,8,0.05,88.5
Model_Description_930,8,0.05,88.55
Model_Description_35N,8,0.05,88.6
Base_Model_E70,8,0.05,88.65
Model_Description_IT28B,8,0.05,88.7
Base_Model_E180,8,0.05,88.75
Model_Description_BD2G,8,0.05,88.8
Product_Group_WL,8,0.05,88.85
Model_Description_310C,7,0.05,88.9
Model_Description_928G,7,0.05,88.95
Base_Model_WA420,7,0.05,89.0
Model_Description_S220,7,0.05,89.05
Model_Description_924F,7,0.05,89.1
Model_Description_D8L,7,0.05,89.15
Base_Model_PC78,7,0.05,89.2
Product_Class_Description_Type_C_-_11_0_to_12_0_Metric_Tons,7,0.05,89.25
Base_Model_H1500,7,0.05,89.3
Product_Class_Description_Type_B_-_16_0_+_Ft_Standard_Digging_Depth,7,0.05,89.35
Product_Class_Description_Type_A_-_200_0_+_Horsepower,7,0.05,89.4
Base_Model_RC30,7,0.05,89.45
Base_Model_345,7,0.05,89.5
Base_Model_321,7,0.05,89.55
Model_Description_D7G,7,0.05,89.6
Model_Description_PC40-6,7,0.05,89.65
Model_Description_980G,7,0.05,89.7
Base_Model_G3,7,0.05,89.75
State_of_Usage_Arkansas,7,0.05,89.8
Model_Description_D155A-1,7,0.05,89.85
Base_Model_E110,7,0.05,89.9
State_of_Usage_Maine,7,0.05,89.95
Base_Model_T300,7,0.05,90.0
Model_Series_-7,7,0.05,90.05
Model_Description_980,7,0.05,90.1
Base_Model_14,7,0.05,90.15
Product_Class_Description_Type_C_-_33_0_to_40_0_Metric_Tons,7,0.05,90.2
Base_Model_TD15,7,0.05,90.25
Model_Description_WA500-1L,7,0.05,90.3
Base_Model_GD505,7,0.05,90.35
Product_Class_Description_Type_C_-_66_0_to_90_0_Metric_Tons,7,0.05,90.4
Model_Description_2074,7,0.05,90.45
Model_Series_-8,7,0.05,90.5
Couple_System_Unknown,7,0.05,90.55
Base_Model_ZX450,7,0.05,90.6
Base_Model_D9,7,0.05,90.65
Model_Series_III,7,0.05,90.7
Model_Description_312B,6,0.04,90.74
Screen_Size_17_5,6,0.04,90.78
Base_Model_D4,6,0.04,90.82
Differential_Type_Standard,6,0.04,90.86
Model_Description_D41P-6,6,0.04,90.9
Model_Description_16,6,0.04,90.94
Base_Model_L330,6,0.04,90.98
Backhoe_Mounting_Unknown,6,0.04,91.02
Model_Description_910,6,0.04,91.06
Model_Series_7,6,0.04,91.1
Model_Description_S130,6,0.04,91.14
Base_Model_530,6,0.04,91.18
Model_Description_S175,6,0.04,91.22
Base_Model_SL150,6,0.04,91.26
Model_Series_-6,6,0.04,91.3
Base_Model_EX300,6,0.04,91.34
Model_Description_WA500,6,0.04,91.38
Base_Model_672,6,0.04,91.42
Model_Description_337,6,0.04,91.46
Base_Model_55,6,0.04,91.5
Base_Model_D65,6,0.04,91.54
Model_Description_670B,6,0.04,91.58
Model_Description_RC30,6,0.04,91.62
Model_Description_T500,6,0.04,91.66
Product_Class_Description_Type_F_-_976_0_to_1251_0_Lb_Operating_Capacity,6,0.04,91.7
Product_Class_Description_Type_C_-_0_0_to_2_0_Metric_Tons,6,0.04,91.74
Model_Description_TX760,6,0.04,91.78
Product_Class_Description_Type_A_-_145_0_to_170_0_Horsepower,6,0.04,91.82
State_of_Usage_Virginia,6,0.04,91.86
Model_Description_644C,6,0.04,91.9
Model_Description_236,6,0.04,91.94
Model_Description_580E,6,0.04,91.98
Product_Group_Description_Germany,6,0.04,92.02
Model_Description_570MXT,6,0.04,92.06
State_of_Usage_Oregon,6,0.04,92.1
Model_Description_A500E,6,0.04,92.14
Base_Model_TD9,6,0.04,92.18
Product_Class_Description_Type_E_-_350_0_to_500_0_Horsepower,6,0.04,92.22
Travel_Possibilities_None_or_Unspecified,5,0.03,92.25
Model_Description_140G,5,0.03,92.28
Model_Description_D5G,5,0.03,92.31
Base_Model_LS2800,5,0.03,92.34
Base_Model_9050,5,0.03,92.37
Model_Description_PC300,5,0.03,92.4
Model_Description_926,5,0.03,92.43
Base_Model_235,5,0.03,92.46
Base_Model_45,5,0.03,92.49
Model_Description_D375A,5,0.03,92.52
Base_Model_H90,5,0.03,92.55
Blade_Type_None_or_Unspecified,5,0.03,92.58
Model_Description_928GZ,5,0.03,92.61
Base_Model_DSL601,5,0.03,92.64
Screen_Size_23_5,5,0.03,92.67
Model_Descriptor_CR,5,0.03,92.7
Model_Description_320C,5,0.03,92.73
Hydraulics_Auxiliary,5,0.03,92.76
Model_Description_S600TX,5,0.03,92.79
Model_Description_D6DLGP,5,0.03,92.82
Model_Description_921C,5,0.03,92.85
Model_Description_753,5,0.03,92.88
